[ 2024-08-08 15:30:31,989 ] 187 werkzeug - WARNING -  * Debugger is active!
[ 2024-08-08 15:30:32,014 ] 187 werkzeug - INFO -  * Debugger PIN: 144-597-497
[ 2024-08-08 15:30:37,841 ] 44 root - INFO - Entered initiate_data_ingestion method of Data_Integration class
[ 2024-08-08 15:30:37,841 ] 25 root - INFO - Exporting data to mongo db
[ 2024-08-08 15:30:37,843 ] 31 root - INFO - saving exported data into feature store file path: artifacts\08_08_2024_15_30_28\data_ingestion
[ 2024-08-08 15:30:39,030 ] 30 root - ERROR - Error in getting collection names: Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\configuration\mongo_db_connection.py] line number [23] error message [name must be an instance of str]
[ 2024-08-08 15:30:39,030 ] 60 root - ERROR - Error in exporting collections as dataframe: Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\data_access\phishing_data.py] line number [26] error message [Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\configuration\mongo_db_connection.py] line number [23] error message [name must be an instance of str]]
[ 2024-08-08 15:30:39,031 ] 40 root - ERROR - Error in exporting data into raw data directory: Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\data_access\phishing_data.py] line number [53] error message [Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\data_access\phishing_data.py] line number [26] error message [Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\configuration\mongo_db_connection.py] line number [23] error message [name must be an instance of str]]]
[ 2024-08-08 15:30:39,031 ] 54 root - ERROR - Error in initiate_data_ingestion method: Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\components\data_ingestion.py] line number [33] error message [Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\data_access\phishing_data.py] line number [53] error message [Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\data_access\phishing_data.py] line number [26] error message [Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\configuration\mongo_db_connection.py] line number [23] error message [name must be an instance of str]]]]
[ 2024-08-08 15:30:39,111 ] 187 werkzeug - INFO - 127.0.0.1 - - [08/Aug/2024 15:30:39] "[35m[1mGET /train HTTP/1.1[0m" 500 -
[ 2024-08-08 15:30:39,202 ] 187 werkzeug - INFO - 127.0.0.1 - - [08/Aug/2024 15:30:39] "[36mGET /train?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
[ 2024-08-08 15:30:39,220 ] 187 werkzeug - INFO - 127.0.0.1 - - [08/Aug/2024 15:30:39] "[36mGET /train?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
[ 2024-08-08 15:30:39,649 ] 187 werkzeug - INFO - 127.0.0.1 - - [08/Aug/2024 15:30:39] "[36mGET /train?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2024-08-08 15:30:39,921 ] 187 werkzeug - INFO - 127.0.0.1 - - [08/Aug/2024 15:30:39] "[36mGET /train?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2024-08-08 15:31:17,662 ] 44 root - INFO - Entered initiate_data_ingestion method of Data_Integration class
[ 2024-08-08 15:31:17,663 ] 25 root - INFO - Exporting data to mongo db
[ 2024-08-08 15:31:17,663 ] 31 root - INFO - saving exported data into feature store file path: artifacts\08_08_2024_15_30_28\data_ingestion
[ 2024-08-08 15:31:17,663 ] 30 root - ERROR - Error in getting collection names: Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\configuration\mongo_db_connection.py] line number [23] error message [name must be an instance of str]
[ 2024-08-08 15:31:17,664 ] 60 root - ERROR - Error in exporting collections as dataframe: Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\data_access\phishing_data.py] line number [26] error message [Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\configuration\mongo_db_connection.py] line number [23] error message [name must be an instance of str]]
[ 2024-08-08 15:31:17,664 ] 40 root - ERROR - Error in exporting data into raw data directory: Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\data_access\phishing_data.py] line number [53] error message [Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\data_access\phishing_data.py] line number [26] error message [Error occurred python scipt name [D:\Data_Science\FSDS_Pro\Projects\phishing-classifier\src\configuration\mongo_db_connection.py] line number [23] error message [name must be an instance of str]]]
